dist_code,month,fuel_type_petrol,fuel_type_diesel,fuel_type_electric,fuel_type_others,vehicleClass_MotorCycle,vehicleClass_MotorCar,vehicleClass_AutoRickshaw,vehicleClass_Agriculture,vehicleClass_others,seatCapacity_1_to_3,seatCapacity_4_to_6,seatCapacity_above_6,Brand_new_vehicles,Pre-owned_vehicles,category_Non-Transport,category_Transport
14_4,2020-10-01,1858,349,0,0,1709,161,15,200,122,2028,172,7,2165,42,2073,134
23_1,2020-10-01,7063,1668,0,10,6503,692,40,786,720,7969,673,99,8536,205,8020,721
15_1,2020-10-01,21573,2165,69,118,15322,7492,0,68,1043,16303,6958,662,21786,2139,22971,954
23_3,2020-10-01,2771,851,0,6,2398,419,23,491,297,3179,411,38,3515,113,3343,285
20_3,2020-11-01,1848,369,2,4,1722,141,14,132,214,2060,145,18,2151,72,2005,218
15_1,2020-11-01,20323,1901,58,58,15561,5795,0,50,934,16427,5393,518,20240,2100,21475,865
14_4,2020-11-01,2057,301,4,4,1980,100,13,135,138,2233,113,20,2321,45,2225,141
16_1,2020-11-01,26280,1799,97,258,22699,4636,189,0,910,23524,4438,468,26017,2417,27369,1065
15_2,2020-11-01,23989,2296,83,88,19304,5823,0,63,1266,20518,5384,552,24345,2111,25270,1186
17_2,2020-11-01,6469,768,20,40,5479,1176,80,184,378,6027,1168,102,6838,459,6857,440
17_1,2020-11-01,2698,550,0,4,2564,161,41,235,251,3044,190,18,3138,114,2976,276
18_1,2020-11-01,7314,912,20,21,6842,629,101,340,355,7520,692,55,8079,188,7838,429
19_4,2020-11-01,1095,221,0,2,1029,84,38,14,153,1196,114,8,1282,36,1127,191
21_5,2020-11-01,2332,479,0,4,2229,127,20,121,318,2643,145,27,2725,90,2483,332
22_2,2020-11-01,3204,729,2,0,2875,406,68,182,404,3433,456,46,3754,181,3471,464
19_1,2020-11-01,2330,339,4,4,2142,226,32,44,233,2409,241,27,2632,45,2418,259
21_2,2020-11-01,7619,1004,6,12,6819,950,34,328,510,7599,951,91,8328,313,8118,523
23_3,2020-11-01,3086,622,0,11,2819,286,8,350,256,3403,280,36,3617,102,3479,240
20_1,2020-11-01,4085,634,0,14,3634,557,42,221,279,4120,566,47,4566,167,4428,305
22_1,2020-11-01,4754,906,0,26,4316,544,72,350,404,4996,576,114,5450,236,5227,459
18_2,2020-11-01,3874,441,2,0,3707,190,26,182,212,4063,210,44,4177,140,4090,227
23_2,2020-11-01,3639,1205,2,4,3351,322,43,599,535,4397,347,106,4724,126,4291,559
21_7,2020-11-01,2386,454,0,0,2205,192,23,285,135,2615,196,29,2758,82,2690,150
14_1,2020-11-01,5116,711,18,2,4763,444,32,264,344,5358,444,45,5663,184,5489,358
17_3,2020-11-01,3410,655,2,30,3124,336,24,371,242,3725,331,41,3971,126,3847,250
14_3,2020-11-01,2298,402,6,0,2143,181,8,165,209,2509,179,18,2594,112,2503,203
19_2,2020-11-01,3096,345,8,0,2890,255,12,149,143,3176,259,14,3382,67,3302,147
21_3,2020-11-01,1919,481,4,0,1841,86,12,289,176,2288,96,20,2351,53,2222,182
14_2,2020-11-01,2660,291,6,0,2577,97,4,140,139,2848,89,20,2850,107,2818,139
20_4,2020-11-01,2912,393,5,4,2575,373,22,134,210,2905,364,45,3189,125,3088,226
15_3,2020-11-01,4472,575,0,4,4110,454,62,269,156,4521,465,65,4881,170,4851,200
19_3,2020-11-01,2957,430,2,8,2604,377,42,86,288,2956,404,37,3293,104,3075,322
23_1,2020-11-01,5224,1330,2,16,4752,578,35,546,661,5887,574,111,6341,231,5914,658
20_2,2020-11-01,3754,421,10,2,3516,274,30,220,147,3875,279,33,4061,126,4022,165
19_3,2020-12-01,2254,414,0,2,1850,444,44,61,271,2166,453,51,2549,121,2370,300
15_3,2020-12-01,3361,553,2,0,2932,508,66,273,137,3336,533,47,3751,165,3727,189
20_4,2020-12-01,1915,350,2,2,1559,345,16,106,243,1887,344,38,2167,102,2034,235
14_2,2020-12-01,1196,244,0,0,1091,123,9,122,95,1300,118,22,1383,57,1352,88
20_2,2020-12-01,3157,473,0,2,2867,326,25,236,178,3271,339,22,3540,92,3434,198
19_2,2020-12-01,2417,338,8,17,2192,263,26,150,149,2487,273,20,2730,50,2617,163
14_1,2020-12-01,3418,755,4,0,2964,542,42,246,383,3576,550,51,4033,144,3788,389
17_3,2020-12-01,2786,586,30,13,2446,387,29,302,251,2971,430,14,3304,111,3149,266
21_7,2020-12-01,1686,384,2,2,1463,238,10,245,118,1819,223,32,2002,72,1954,120
21_3,2020-12-01,1342,404,0,0,1181,167,15,261,122,1548,176,22,1682,64,1628,118
18_2,2020-12-01,3289,416,0,2,3031,291,29,162,194,3365,293,49,3607,100,3516,191
23_1,2020-12-01,3672,1102,2,8,3138,650,21,404,571,4016,623,145,4607,177,4229,555
14_3,2020-12-01,1608,458,3,0,1399,232,15,241,182,1820,224,25,1992,77,1882,187
23_2,2020-12-01,2474,953,0,0,2134,391,22,386,494,2946,386,95,3328,99,2951,476
20_3,2020-12-01,1675,368,0,0,1528,155,6,115,239,1880,150,13,1965,78,1806,237
23_3,2020-12-01,2198,486,4,31,1890,337,41,241,210,2328,351,36,2606,113,2494,225
15_1,2020-12-01,17409,2107,165,79,11274,7447,0,20,1019,12189,6983,586,17514,2246,18843,917
14_4,2020-12-01,1351,304,0,2,1214,163,26,125,129,1464,179,14,1588,69,1519,138
16_1,2020-12-01,21040,1702,111,227,16472,5598,142,3,865,17242,5290,546,20786,2294,22127,953
15_2,2020-12-01,19978,2517,86,134,13696,7607,0,41,1371,14969,7158,588,20413,2302,21441,1274
20_1,2020-12-01,3117,574,6,2,2519,682,30,192,276,2968,694,37,3487,212,3406,293
17_1,2020-12-01,2199,649,2,2,1971,238,38,303,302,2572,260,20,2698,154,2528,324
17_2,2020-12-01,5259,850,58,45,3895,1591,65,229,432,4522,1558,132,5782,430,5747,465
19_4,2020-12-01,885,185,0,0,828,63,22,12,145,980,82,8,1036,34,913,157
22_1,2020-12-01,3576,863,2,3,2932,805,44,253,410,3542,808,94,4252,192,4016,428
21_5,2020-12-01,1658,427,0,1,1452,214,30,84,306,1820,233,33,2001,85,1756,330
22_2,2020-12-01,2607,546,2,0,1986,676,28,158,307,2432,638,85,2984,171,2828,327
19_1,2020-12-01,1783,228,2,2,1566,258,14,32,145,1741,254,20,1956,59,1861,154
21_2,2020-12-01,5554,952,10,2,4621,1101,50,286,460,5311,1128,79,6244,274,6041,477
18_1,2020-12-01,6191,709,23,18,5544,806,74,242,275,6044,828,69,6758,183,6636,305
19_3,2021-01-01,2018,425,6,2,1791,264,46,55,295,2121,302,28,2361,90,2112,339
15_3,2021-01-01,2956,518,13,2,2670,352,105,230,132,3023,429,37,3375,114,3264,225
20_4,2021-01-01,2076,316,2,0,1797,280,16,121,180,2088,280,26,2287,107,2210,184
14_2,2021-01-01,1561,262,0,0,1476,99,10,140,98,1712,93,18,1771,52,1719,104
20_2,2021-01-01,2985,526,2,2,2740,283,36,241,215,3194,303,18,3396,119,3278,237
21_7,2021-01-01,1738,462,0,0,1619,130,36,285,130,2024,160,16,2153,47,2050,150
14_3,2021-01-01,2169,591,0,2,2067,115,28,271,281,2611,142,9,2688,74,2465,297
17_3,2021-01-01,2783,522,6,24,2592,233,50,227,233,3038,275,22,3228,107,3074,261
14_1,2021-01-01,3580,791,6,2,3332,302,38,288,419,4016,331,32,4253,126,3945,434
23_1,2021-01-01,5422,1180,2,46,4923,579,98,422,628,5935,661,54,6492,158,5998,652
19_2,2021-01-01,2246,254,4,8,2087,186,38,115,86,2278,227,7,2460,52,2396,116
23_2,2021-01-01,3615,896,6,2,3322,348,41,327,481,4055,361,103,4411,108,4039,480
22_1,2021-01-01,5665,916,0,14,5250,535,74,267,469,5940,584,71,6368,227,6072,523
23_3,2021-01-01,2322,425,6,25,2092,247,46,177,216,2483,278,17,2704,74,2546,232
21_2,2021-01-01,5876,989,6,0,5199,774,50,322,524,6021,782,68,6604,267,6328,543
19_1,2021-01-01,1925,254,8,0,1823,129,41,22,172,2013,164,10,2154,33,1984,203
22_2,2021-01-01,3966,586,0,0,3622,400,60,168,302,4078,443,31,4402,150,4208,344
21_5,2021-01-01,2335,451,4,4,2207,128,36,105,318,2593,169,32,2724,70,2459,335
21_3,2021-01-01,1563,365,0,2,1447,119,18,215,131,1789,129,12,1881,49,1791,139
19_4,2021-01-01,1427,214,0,0,1381,54,36,6,164,1551,80,10,1608,33,1441,200
18_1,2021-01-01,5492,726,38,10,5053,556,93,217,347,5613,615,38,6107,159,5858,408
17_1,2021-01-01,1829,326,8,8,1677,166,28,129,171,1965,187,19,2078,93,1984,187
17_2,2021-01-01,5416,743,96,135,4486,1121,124,161,498,5093,1197,100,6027,363,5802,588
15_2,2021-01-01,19194,2236,122,82,15164,5032,0,51,1387,16515,4706,409,19727,1907,20323,1311
16_1,2021-01-01,21635,1702,150,285,18727,3836,223,0,986,19616,3731,425,21579,2193,22612,1160
20_1,2021-01-01,3064,630,6,13,2665,487,58,147,356,3157,532,24,3560,153,3309,404
20_3,2021-01-01,1624,280,16,2,1525,124,16,95,162,1770,136,16,1853,69,1754,168
15_1,2021-01-01,16503,1899,158,62,12307,5243,0,46,1026,13297,4910,414,16879,1743,17691,931
14_4,2021-01-01,1355,275,0,0,1237,134,14,115,130,1482,139,9,1580,50,1502,128
18_2,2021-01-01,2731,401,10,6,2563,205,34,157,189,2890,213,45,3044,104,2935,213
20_3,2021-02-01,1391,348,18,2,1278,159,11,140,171,1581,163,15,1709,50,1579,180
15_2,2021-02-01,19772,2497,333,114,15617,5626,0,55,1416,16922,5113,679,20603,2113,21401,1315
17_2,2021-02-01,5213,838,80,95,4214,1275,163,161,413,4758,1325,143,5765,461,5699,527
17_1,2021-02-01,1650,389,15,8,1515,187,36,135,189,1831,187,44,1970,92,1845,217
18_1,2021-02-01,4884,675,56,27,4366,665,114,206,291,4849,727,66,5482,160,5254,388
19_4,2021-02-01,1022,254,0,0,976,55,30,23,192,1185,70,21,1237,39,1054,222
22_1,2021-02-01,4594,993,0,16,4095,631,71,386,420,4831,643,129,5379,224,5140,463
21_5,2021-02-01,1973,461,0,4,1867,114,34,100,323,2231,138,69,2361,77,2096,342
22_2,2021-02-01,3009,652,2,0,2607,450,92,210,304,3100,515,48,3532,131,3281,382
19_1,2021-02-01,1867,267,2,2,1703,203,28,25,177,1905,215,18,2083,55,1941,197
21_2,2021-02-01,5040,822,26,4,4466,801,41,199,385,5015,762,115,5646,246,5481,411
23_3,2021-02-01,2116,481,2,63,1888,260,80,187,247,2306,322,34,2545,117,2347,315
20_1,2021-02-01,2923,616,4,10,2562,442,49,135,365,3036,460,57,3376,177,3159,394
16_1,2021-02-01,23111,1793,472,545,19640,4833,474,2,972,20451,4804,666,23204,2717,24584,1337
23_1,2021-02-01,4160,1090,18,75,3640,603,101,477,522,4547,694,102,5204,139,4746,597
19_3,2021-02-01,1835,451,12,0,1532,254,36,66,410,1955,277,66,2212,86,1860,438
15_3,2021-02-01,2986,545,21,1,2677,379,95,189,213,3054,450,49,3395,158,3271,282
20_4,2021-02-01,1757,319,6,6,1528,265,27,91,177,1789,266,33,2004,84,1896,192
14_2,2021-02-01,1301,234,0,0,1210,114,10,97,104,1409,106,20,1479,56,1431,104
20_2,2021-02-01,2798,341,8,0,2573,258,14,120,182,2863,259,25,3076,71,2958,189
14_3,2021-02-01,1694,643,8,0,1533,179,45,283,305,2109,220,16,2272,73,2011,334
17_3,2021-02-01,2436,536,14,40,2202,282,66,271,205,2658,317,51,2903,123,2772,254
14_1,2021-02-01,3050,758,64,4,2734,393,55,244,450,3385,421,70,3729,147,3410,466
21_7,2021-02-01,1590,348,0,2,1425,173,44,180,118,1707,201,32,1862,78,1785,155
21_3,2021-02-01,1265,330,2,0,1183,106,19,179,110,1466,113,18,1537,60,1477,120
23_2,2021-02-01,3014,808,16,0,2779,305,42,301,411,3387,319,132,3734,104,3410,428
19_2,2021-02-01,2312,333,19,2,2167,209,24,144,122,2425,211,30,2597,69,2534,132
15_1,2021-02-01,17009,2116,249,87,12356,5943,0,41,1121,13340,5456,661,17321,2140,18453,1008
14_4,2021-02-01,1302,249,4,0,1218,104,12,109,112,1425,111,19,1532,23,1441,114
18_2,2021-02-01,2627,507,28,8,2427,246,32,231,234,2847,263,60,3073,97,2924,246
15_1,2021-03-01,18415,2432,257,116,13098,6803,0,62,1257,14296,6245,676,19004,2216,20099,1121
21_7,2021-03-01,1676,393,0,2,1546,133,32,228,132,1894,157,20,2011,60,1913,158
14_1,2021-03-01,3198,742,92,2,2922,344,63,274,431,3605,386,43,3879,155,3580,454
17_3,2021-03-01,2371,522,58,30,2152,328,46,261,194,2602,334,45,2846,135,2755,226
14_3,2021-03-01,1902,627,4,4,1753,182,32,270,300,2313,202,22,2428,109,2229,308
19_2,2021-03-01,1839,237,15,4,1693,205,18,87,92,1866,194,35,2052,43,1997,98
20_2,2021-03-01,2597,360,42,6,2369,293,44,141,158,2654,322,29,2903,102,2823,182
14_2,2021-03-01,1258,312,4,0,1165,115,32,158,104,1421,139,14,1508,66,1445,129
20_4,2021-03-01,1666,339,16,2,1419,276,24,99,207,1693,280,52,1942,83,1819,206
15_3,2021-03-01,3000,618,28,5,2613,481,86,252,219,3056,529,66,3458,193,3374,277
19_3,2021-03-01,1748,384,2,7,1481,280,44,36,300,1788,301,52,2038,103,1804,337
21_3,2021-03-01,1289,372,2,4,1170,130,16,204,147,1517,134,16,1606,61,1522,145
23_1,2021-03-01,3663,1222,15,94,3243,510,136,558,561,4295,615,96,4864,144,4345,663
23_2,2021-03-01,2838,827,24,2,2602,305,24,347,413,3290,304,97,3583,108,3289,402
21_2,2021-03-01,5326,837,25,6,4552,930,44,219,449,5189,880,123,5894,300,5725,469
19_1,2021-03-01,1849,289,12,2,1748,149,57,22,176,1944,203,5,2096,56,1927,225
22_2,2021-03-01,3327,651,6,26,2916,483,74,213,324,3401,535,74,3830,180,3639,371
21_5,2021-03-01,1986,428,4,8,1858,143,40,92,293,2213,189,24,2361,65,2106,320
22_1,2021-03-01,4275,987,23,45,3792,620,99,335,484,4519,678,133,5099,231,4779,551
19_4,2021-03-01,1137,240,0,2,1086,61,37,16,179,1277,92,10,1327,52,1167,212
18_1,2021-03-01,4492,835,65,18,4025,617,115,265,390,4664,684,64,5236,176,4917,495
17_1,2021-03-01,1438,380,1,30,1269,210,46,147,177,1585,246,18,1781,68,1643,206
17_2,2021-03-01,5106,828,77,170,4040,1356,189,156,440,4613,1439,129,5729,452,5602,579
15_2,2021-03-01,20517,2833,378,125,15831,6242,0,65,1715,17444,5725,682,21562,2291,22276,1577
16_1,2021-03-01,23339,2282,501,591,19529,5327,543,2,1334,20685,5344,704,24034,2701,24955,1780
14_4,2021-03-01,1264,272,6,0,1159,130,22,139,92,1380,140,22,1487,55,1444,98
20_1,2021-03-01,2763,579,0,6,2388,452,36,180,292,2840,463,43,3170,178,3035,313
23_3,2021-03-01,2045,517,2,90,1765,284,123,260,250,2261,389,32,2576,106,2337,345
18_2,2021-03-01,2361,354,10,9,2148,244,39,131,172,2415,258,61,2638,96,2537,197
20_3,2021-03-01,1260,241,66,2,1212,126,10,97,124,1425,129,15,1497,72,1439,130
21_3,2021-04-01,990,285,0,2,856,142,8,191,80,1123,142,12,1233,44,1198,79
21_7,2021-04-01,1750,360,10,0,1578,191,20,241,90,1896,203,21,2059,61,2016,104
14_1,2021-04-01,3301,661,19,2,2996,380,44,253,310,3531,395,57,3838,145,3633,350
17_3,2021-04-01,1893,474,6,30,1698,255,30,297,123,2106,262,35,2331,72,2261,142
14_3,2021-04-01,1718,539,2,0,1582,170,24,241,242,2061,174,24,2175,84,1997,262
19_2,2021-04-01,1719,192,6,10,1590,148,28,73,88,1743,169,15,1869,58,1814,113
20_2,2021-04-01,1858,258,12,2,1688,220,17,126,79,1891,220,19,2067,63,2036,94
14_2,2021-04-01,1339,234,0,0,1272,76,7,138,80,1487,73,13,1524,49,1487,86
20_4,2021-04-01,1349,278,6,4,1135,257,20,86,139,1318,288,31,1577,60,1480,157
15_3,2021-04-01,3287,530,10,4,2890,485,72,238,146,3244,532,55,3682,149,3622,209
19_3,2021-04-01,1778,261,0,2,1380,273,29,40,319,1713,287,41,1973,68,1697,344
23_1,2021-04-01,3224,724,6,42,2733,571,58,295,339,3322,599,75,3886,110,3619,377
23_2,2021-04-01,2258,606,2,2,2026,276,12,300,254,2541,277,50,2817,51,2613,255
20_3,2021-04-01,1073,195,2,0,959,130,4,75,102,1130,130,10,1236,34,1166,104
18_2,2021-04-01,2120,253,8,10,1926,222,17,116,110,2122,237,32,2304,87,2266,125
21_2,2021-04-01,4136,644,20,8,3534,777,20,227,250,3979,740,87,4550,258,4543,265
15_1,2021-04-01,14342,1948,240,100,10011,5667,0,53,899,10799,5252,577,14883,1747,15833,797
14_4,2021-04-01,1174,238,2,2,1070,123,14,104,105,1275,131,10,1381,35,1301,115
16_1,2021-04-01,17679,1890,227,369,14565,4303,296,0,1001,15415,4225,525,18209,1956,18941,1224
15_2,2021-04-01,16798,2259,242,101,12608,5521,0,49,1222,13711,5106,583,17607,1793,18240,1160
23_3,2021-04-01,1711,398,8,47,1408,330,50,215,161,1768,375,21,2084,80,1967,197
17_1,2021-04-01,1458,315,2,19,1286,178,32,134,164,1580,199,15,1705,89,1606,188
17_2,2021-04-01,4669,627,50,55,3670,1214,75,97,345,4074,1216,111,4989,412,5026,375
19_4,2021-04-01,876,130,0,0,815,75,10,9,97,911,86,9,993,13,899,107
22_1,2021-04-01,3757,749,2,14,3319,586,44,298,275,3832,580,110,4338,184,4212,310
21_5,2021-04-01,1880,423,0,0,1770,124,16,121,272,2129,132,42,2241,62,2019,284
22_2,2021-04-01,2697,503,3,0,2409,339,43,161,251,2783,367,53,3070,133,2913,290
19_1,2021-04-01,1554,123,2,2,1431,155,22,13,60,1504,169,8,1652,29,1601,80
18_1,2021-04-01,3516,474,49,8,3122,530,34,184,177,3467,536,44,3929,118,3845,202
20_1,2021-04-01,2061,435,2,10,1627,498,20,107,256,1958,499,51,2374,134,2244,264
14_4,2021-05-01,606,152,0,0,544,81,2,80,51,671,79,8,739,19,707,51
18_2,2021-05-01,1656,149,0,3,1555,112,6,67,68,1670,109,29,1756,52,1739,69
15_1,2021-05-01,7008,1006,86,39,4587,3130,0,12,410,4941,2941,257,7230,909,7752,387
20_2,2021-05-01,1202,191,2,0,1107,109,6,132,41,1278,116,1,1348,47,1348,47
20_3,2021-05-01,669,131,20,0,633,68,0,48,71,752,62,6,792,28,751,69
21_3,2021-05-01,566,259,2,0,520,50,2,196,59,773,48,6,817,10,770,57
21_7,2021-05-01,808,282,2,0,731,91,10,204,56,984,91,17,1060,32,1030,62
14_1,2021-05-01,2068,419,4,2,1881,248,20,163,181,2211,263,19,2398,95,2300,193
17_3,2021-05-01,1147,322,2,14,1037,143,5,233,67,1329,136,20,1437,48,1417,68
14_3,2021-05-01,948,404,0,0,897,82,0,181,192,1228,114,10,1308,44,1166,186
19_2,2021-05-01,1336,137,0,0,1265,99,0,73,36,1373,97,3,1453,20,1439,34
14_2,2021-05-01,803,147,0,0,751,68,1,77,53,879,60,11,918,32,900,50
20_4,2021-05-01,893,186,0,0,799,100,0,83,97,933,128,18,1034,45,982,97
15_3,2021-05-01,2111,324,2,4,1920,247,6,142,126,2180,241,20,2339,102,2316,125
23_1,2021-05-01,1708,615,2,4,1485,293,4,351,196,2018,273,38,2264,65,2135,194
23_2,2021-05-01,1235,498,0,0,1105,178,6,254,190,1533,186,14,1668,65,1544,189
19_3,2021-05-01,724,143,0,0,632,121,6,18,90,732,124,11,831,36,775,92
23_3,2021-05-01,853,310,2,6,741,145,6,212,67,1016,141,14,1131,40,1101,70
16_1,2021-05-01,8242,778,101,102,6627,2233,60,0,303,6852,2152,219,8274,949,8881,342
15_2,2021-05-01,7704,1130,98,81,5357,3065,0,30,561,5864,2893,254,8109,904,8485,528
17_2,2021-05-01,2628,398,11,16,2132,640,8,115,158,2389,604,60,2816,237,2896,157
17_1,2021-05-01,900,252,0,4,821,86,4,146,99,1066,83,7,1127,29,1061,95
20_1,2021-05-01,1074,278,3,0,883,244,0,136,92,1108,236,11,1267,88,1267,88
19_4,2021-05-01,486,73,0,0,471,20,8,6,54,527,26,6,533,26,497,62
18_1,2021-05-01,2611,329,4,1,2357,303,11,164,110,2619,304,22,2872,73,2832,113
21_5,2021-05-01,1157,373,0,0,1083,95,0,124,228,1427,89,14,1490,40,1310,220
22_2,2021-05-01,1578,417,0,0,1400,223,12,208,152,1737,226,32,1903,92,1843,152
19_1,2021-05-01,1092,67,2,0,1019,97,4,10,31,1056,99,6,1123,38,1126,35
21_2,2021-05-01,2232,558,8,4,1926,434,4,232,206,2350,409,43,2675,127,2598,204
22_1,2021-05-01,1897,560,0,4,1611,380,8,324,138,2061,380,20,2355,106,2319,142
23_3,2021-06-01,2053,590,12,20,1852,243,24,374,182,2405,243,27,2581,94,2482,193
21_5,2021-06-01,2085,698,0,3,1972,124,13,312,365,2628,124,34,2739,47,2412,374
21_2,2021-06-01,4585,1107,19,4,4018,726,8,533,430,4959,681,75,5486,229,5285,430
19_1,2021-06-01,1262,126,7,0,1177,130,5,3,80,1255,121,19,1355,40,1310,85
22_2,2021-06-01,2576,691,0,2,2301,319,19,430,200,2912,310,47,3148,121,3054,215
22_1,2021-06-01,3763,1035,2,8,3372,523,37,570,306,4213,502,93,4612,196,4475,333
14_4,2021-06-01,1325,338,4,0,1207,134,12,209,105,1515,139,13,1629,38,1552,115
18_1,2021-06-01,4889,682,54,4,4539,483,32,304,271,5099,491,39,5482,147,5330,299
17_1,2021-06-01,1836,857,9,6,1709,161,12,502,324,2530,154,24,2630,78,2382,326
17_2,2021-06-01,4694,722,41,46,3849,1049,22,251,332,4386,1002,115,5145,358,5177,326
15_2,2021-06-01,15387,1925,292,108,11837,4721,0,85,1069,12867,4381,464,16015,1697,16691,1021
20_1,2021-06-01,2746,636,23,2,2452,376,6,395,178,3003,372,32,3227,180,3228,179
19_4,2021-06-01,745,112,2,0,701,56,8,12,82,787,52,20,832,27,769,90
23_2,2021-06-01,2552,1178,6,2,2342,234,16,745,401,3436,246,56,3655,83,3328,410
18_2,2021-06-01,3115,441,19,2,2956,199,13,238,171,3337,205,35,3469,108,3397,180
19_3,2021-06-01,1740,344,0,4,1550,211,18,107,202,1839,212,37,2006,82,1870,218
15_3,2021-06-01,3448,531,10,7,3153,355,34,284,170,3595,363,38,3846,150,3798,198
20_4,2021-06-01,1958,468,3,2,1756,229,8,243,195,2115,257,59,2309,122,2236,195
14_2,2021-06-01,1463,233,7,0,1399,88,12,143,61,1598,97,8,1642,61,1631,72
20_2,2021-06-01,2907,444,2,0,2693,231,11,307,111,3103,227,23,3276,77,3233,120
19_2,2021-06-01,2044,314,4,1,1934,141,13,189,86,2199,145,19,2298,65,2266,97
14_3,2021-06-01,2172,604,0,2,2017,169,10,352,230,2593,171,14,2711,67,2545,233
17_3,2021-06-01,3037,938,43,8,2821,309,3,686,207,3710,284,32,3896,130,3822,204
14_1,2021-06-01,3819,809,7,0,3516,351,19,393,356,4248,362,25,4456,179,4278,357
21_7,2021-06-01,1669,739,2,0,1534,146,12,623,95,2243,145,22,2344,66,2303,107
21_3,2021-06-01,1328,554,0,0,1215,113,2,393,159,1760,111,11,1825,57,1725,157
20_3,2021-06-01,1419,354,20,4,1346,114,6,163,168,1677,114,6,1716,81,1629,168
16_1,2021-06-01,16348,1606,515,112,13631,3796,70,5,1079,14583,3500,496,16716,1865,17464,1117
23_1,2021-06-01,3760,1213,8,28,3401,424,34,654,496,4515,456,38,4873,136,4485,524
15_1,2021-06-01,13192,1645,225,47,9323,4874,0,88,824,10145,4534,430,13413,1696,14342,767
20_1,2021-07-01,2310,411,26,8,1976,469,20,149,141,2243,439,73,2597,158,2598,157
22_1,2021-07-01,3898,855,2,9,3444,586,50,387,297,4060,592,112,4583,181,4425,339
15_1,2021-07-01,15406,2322,344,103,10746,6185,1,37,1206,11835,5609,731,16121,2054,17063,1112
18_2,2021-07-01,2359,298,12,2,2172,227,10,104,158,2420,221,30,2546,125,2509,162
14_4,2021-07-01,1260,314,9,0,1145,140,16,174,108,1416,139,28,1508,75,1469,114
16_1,2021-07-01,19156,1754,465,570,15842,4732,268,2,1101,16553,4711,679,19704,2241,20628,1317
15_2,2021-07-01,17169,2447,492,189,12999,5822,2,51,1423,14267,5299,726,18222,2075,18951,1346
17_2,2021-07-01,4410,640,147,62,3381,1294,67,153,364,3882,1232,145,4836,423,4856,403
17_1,2021-07-01,1727,418,18,14,1550,223,21,181,202,1929,216,32,2060,117,1966,211
18_1,2021-07-01,4589,491,135,7,4213,631,42,117,219,4541,599,82,5011,211,4963,259
19_4,2021-07-01,692,121,2,0,629,78,21,12,75,709,87,19,765,50,721,94
21_5,2021-07-01,1967,501,0,2,1829,151,13,168,309,2288,145,37,2411,59,2151,319
22_2,2021-07-01,2502,563,4,0,2167,401,36,260,205,2609,398,62,2933,136,2832,237
19_1,2021-07-01,1327,147,22,0,1223,163,13,12,85,1318,151,27,1458,38,1398,98
23_3,2021-07-01,2253,491,6,51,1911,388,56,202,244,2353,400,48,2673,128,2518,283
21_2,2021-07-01,4692,849,33,12,4074,810,34,321,347,4691,774,121,5317,269,5218,368
19_2,2021-07-01,1836,217,18,8,1672,203,16,87,101,1851,187,41,2033,46,1964,115
23_1,2021-07-01,4124,886,6,115,3684,538,129,359,421,4421,637,73,4951,180,4597,534
19_3,2021-07-01,1629,353,20,3,1405,289,21,64,226,1658,291,56,1892,113,1766,239
15_3,2021-07-01,3168,639,34,6,2811,497,50,298,191,3283,477,87,3675,172,3616,231
20_4,2021-07-01,1565,297,13,2,1310,280,17,96,174,1550,269,58,1780,97,1696,181
14_2,2021-07-01,1549,255,4,2,1474,97,12,142,85,1699,88,23,1747,63,1715,95
20_2,2021-07-01,2667,303,14,0,2441,267,15,175,86,2697,252,35,2886,98,2888,96
23_2,2021-07-01,2956,922,8,4,2699,322,18,459,392,3493,327,70,3732,158,3484,406
14_3,2021-07-01,1666,584,4,2,1531,173,22,278,252,2055,170,31,2206,50,1986,270
17_3,2021-07-01,2717,548,48,29,2473,357,35,311,166,2932,341,69,3191,151,3151,191
14_1,2021-07-01,3183,748,15,2,2837,432,27,286,366,3465,435,48,3800,148,3567,381
21_7,2021-07-01,1814,552,2,1,1651,190,16,423,89,2154,185,30,2307,62,2268,101
21_3,2021-07-01,1409,321,4,2,1287,136,2,185,126,1588,129,19,1687,49,1616,120
20_3,2021-07-01,1253,205,24,0,1131,159,1,68,123,1318,144,20,1425,57,1364,118
23_2,2021-08-01,2528,489,18,6,2267,345,28,148,253,2637,357,47,2912,129,2766,275
20_1,2021-08-01,2911,339,23,16,2433,586,20,78,172,2660,561,66,3066,223,3113,176
21_2,2021-08-01,4721,581,47,24,3992,939,29,146,267,4360,891,122,5101,272,5097,276
23_1,2021-08-01,3397,591,3,138,2946,567,151,143,322,3369,684,76,3988,141,3666,463
23_3,2021-08-01,2199,374,13,56,1831,424,63,153,171,2138,456,48,2514,128,2418,224
19_3,2021-08-01,1724,201,10,4,1483,287,43,19,107,1593,315,31,1837,102,1791,148
17_3,2021-08-01,2573,387,46,42,2295,401,22,188,144,2620,385,45,2914,136,2894,156
20_4,2021-08-01,1800,264,20,2,1557,302,8,67,152,1740,306,40,2006,80,1930,156
14_2,2021-08-01,1288,178,8,6,1203,123,6,66,82,1341,119,20,1405,75,1394,86
20_2,2021-08-01,2509,231,37,3,2293,283,8,105,91,2479,266,35,2671,109,2685,95
19_1,2021-08-01,1303,190,8,2,1143,193,20,18,129,1286,190,27,1475,28,1358,145
