dist_code,month,sector,investment in cr,number_of_employees
21_3,01-02-2021,Agro based incl Cold Storages,1.635,26
20_1,01-02-2021,Engineering,0.36,16
20_3,01-02-2021,Agro based incl Cold Storages,0.54,18
22_1,01-02-2021,Beverages,0.11,3
22_1,01-02-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.127,14
17_2,01-02-2021,Others,4.6577,25
17_2,01-02-2021,Pharmaceuticals and Chemicals,27.7855,1705
17_2,01-02-2021,Plastic and Rubber,0.24,20
17_2,01-02-2021,R&D,3.76,20
17_2,01-02-2021,Solar and Other Renewable Energy,4.3574,100
21_7,01-02-2021,Food Processing,2.6025,28
22_1,01-02-2021,Food Processing,1.68,18
14_1,01-02-2021,Granite and Stone Crushing,0.96,20
14_1,01-02-2021,R&D,8.5104,55
21_7,01-02-2021,Engineering,0.03,2
15_2,01-02-2021,Engineering,25.3335,363
21_7,01-02-2021,Beverages,0.1,2
17_1,01-02-2021,Plastic and Rubber,2.0607,24
21_5,01-02-2021,Engineering,0.085,5
17_1,01-02-2021,Engineering,24.4089,175
17_1,01-02-2021,Beverages,0.25,6
22_1,01-02-2021,Engineering,0.012,2
21_5,01-02-2021,Plastic and Rubber,0.09,5
21_5,01-02-2021,Wood and Leather,0.1435,7
17_2,01-02-2021,Engineering,57.0645,613
15_2,01-02-2021,Food Processing,45.2954,1184
20_2,01-02-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.2325,12
19_2,01-02-2021,Agro based incl Cold Storages,12.25,35
23_3,01-02-2021,Electrical and Electronic Products,1.592,30
19_3,01-02-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.4863,26
19_3,01-02-2021,Engineering,0.15,4
18_1,01-02-2021,Agro based incl Cold Storages,0.482,10
18_1,01-02-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.085,5
18_1,01-02-2021,Engineering,0.251,14
18_1,01-02-2021,Food Processing,1.0585,15
18_1,01-02-2021,Plastic and Rubber,7.05,20
22_2,01-02-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.535,33
19_3,01-02-2021,Granite and Stone Crushing,1.2602,60
19_3,01-02-2021,Plastic and Rubber,0.25,15
23_3,01-02-2021,Agro based incl Cold Storages,0.32,7
23_1,01-02-2021,Pharmaceuticals and Chemicals,105,240
23_2,01-02-2021,Food Processing,5.8,24
23_2,01-02-2021,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",0.25,5
23_3,01-02-2021,Engineering,0.31,5
15_3,01-02-2021,Agro based incl Cold Storages,0.7153,12
23_3,01-02-2021,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",0.15,5
15_2,01-02-2021,Others,0.2,9
23_1,01-02-2021,Granite and Stone Crushing,0.3,10
23_3,01-02-2021,Plastic and Rubber,9.765,52
23_1,01-02-2021,Food Processing,4.4,18
23_1,01-02-2021,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",0.25,2
23_3,01-02-2021,Pharmaceuticals and Chemicals,0.4,6
23_1,01-02-2021,Agro based incl Cold Storages,1.12,21
22_2,01-02-2021,Plastic and Rubber,0.23,20
23_3,01-02-2021,Granite and Stone Crushing,6.72,112
15_1,01-02-2021,Plastic and Rubber,14.5,29
15_1,01-02-2021,Pharmaceuticals and Chemicals,1019.71,407
15_1,01-02-2021,Paper and Printing,8,10
15_1,01-02-2021,Granite and Stone Crushing,0.85,5
15_1,01-02-2021,Food Processing,13.1195,182
23_3,01-02-2021,Food Processing,0.25,10
15_1,01-02-2021,Engineering,637.263,273
14_4,01-02-2021,Food Processing,3.2684,25
14_3,01-02-2021,Textiles,8.5,20
23_2,01-02-2021,Pharmaceuticals and Chemicals,2.7314,90
15_2,01-02-2021,Plastic and Rubber,7.921,209
14_3,01-02-2021,Granite and Stone Crushing,0.65,15
15_2,01-02-2021,Pharmaceuticals and Chemicals,7.7537,104
20_2,01-02-2021,Beverages,0.272,14
14_1,01-02-2021,Agro based incl Cold Storages,0.935,9
19_2,01-02-2021,Wood and Leather,0.11,30
20_2,01-02-2021,Agro based incl Cold Storages,0.687,20
19_2,01-02-2021,Others,0.105,4
19_2,01-02-2021,Food Processing,0.05,2
22_2,01-02-2021,Agro based incl Cold Storages,0.89,33
19_2,01-02-2021,Engineering,0.18,25
15_1,01-02-2021,"Real Estate,Industrial Parks and IT Buildings",0,40541
19_2,01-02-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.45,34
20_4,01-02-2021,Food Processing,5.1505,55
20_4,01-02-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.305,16
20_4,01-02-2021,Agro based incl Cold Storages,0.35,8
15_2,01-02-2021,Paper and Printing,3.1118,56
19_2,01-02-2021,Automobile,0.065,4
20_2,01-02-2021,Engineering,0.2795,14
20_2,01-02-2021,Food Processing,7.306,43
22_2,01-02-2021,Others,0.11,4
20_2,01-02-2021,Paper and Printing,0.036,2
19_4,01-02-2021,Food Processing,0.8582,6
15_2,01-02-2021,R&D,61.3546,860
14_4,01-02-2021,Granite and Stone Crushing,0.25,10
23_2,01-02-2021,Engineering,2.76,35
15_2,01-02-2021,Wood and Leather,0.25,10
19_4,01-02-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.785,44
15_3,01-02-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.2168,8
15_3,01-02-2021,Food Processing,0.07,6
15_3,01-02-2021,Granite and Stone Crushing,0.2772,16
14_3,01-02-2021,Food Processing,6.5528,25
21_6,01-03-2021,Engineering,0.49,20
19_3,01-03-2021,Food Processing,0.12,1
19_3,01-03-2021,Textiles,0.1737,10
15_3,01-03-2021,Granite and Stone Crushing,0.3765,24
15_3,01-03-2021,Others,0.9625,20
21_6,01-03-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.47,24
15_3,01-03-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.13,5
15_3,01-03-2021,Paper and Printing,0.51,15
15_3,01-03-2021,Pharmaceuticals and Chemicals,0.2,5
19_1,01-03-2021,Others,0.05,2
19_1,01-03-2021,Food Processing,0.285,11
19_1,01-03-2021,Engineering,0.015,5
14_4,01-03-2021,Agro based incl Cold Storages,0.0105,20
19_1,01-03-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.252,24
15_3,01-03-2021,Agro based incl Cold Storages,0.11,6
22_2,01-03-2021,Food Processing,0.06,0
22_2,01-03-2021,Granite and Stone Crushing,1.1275,10
21_6,01-03-2021,Agro based incl Cold Storages,0.1118,4
15_3,01-03-2021,Food Processing,3.5372,45
23_2,01-03-2021,Granite and Stone Crushing,0.15,20
22_2,01-03-2021,Engineering,0.1,18
20_1,01-03-2021,Agro based incl Cold Storages,1.3025,50
20_1,01-03-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.09,66
15_1,01-03-2021,Others,0.45,25
15_1,01-03-2021,Food Processing,0.186,5
20_1,01-03-2021,Engineering,0.13,6
20_1,01-03-2021,Food Processing,2.1479,100
15_1,01-03-2021,Engineering,0.74,19
20_1,01-03-2021,Granite and Stone Crushing,24.6592,297
21_5,01-03-2021,Engineering,0.085,5
15_1,01-03-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",16.16,14
20_2,01-03-2021,Textiles,0.1,4
19_4,01-03-2021,Food Processing,3.3782,166
21_7,01-03-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.2,8
17_1,01-03-2021,Plastic and Rubber,1.5286,40
17_1,01-03-2021,Pharmaceuticals and Chemicals,0.86,71
21_5,01-03-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.45,14
21_5,01-03-2021,Beverages,0.83,20
17_1,01-03-2021,Agro based incl Cold Storages,10.3757,19
21_5,01-03-2021,Agro based incl Cold Storages,2.0023,23
17_1,01-03-2021,Beverages,0.25,6
19_3,01-03-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.5144,81
17_1,01-03-2021,Engineering,34.6812,521
19_4,01-03-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.19,21
20_2,01-03-2021,Granite and Stone Crushing,0.495,25
14_1,01-03-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.168,0
14_1,01-03-2021,Engineering,0.4682,4
23_2,01-03-2021,Engineering,0.25,15
15_1,01-03-2021,"Real Estate,Industrial Parks and IT Buildings",0,31315
23_2,01-03-2021,Food Processing,1.685,54
23_2,01-03-2021,Pharmaceuticals and Chemicals,40.5,300
23_2,01-03-2021,Plastic and Rubber,0.1,3
22_2,01-03-2021,Agro based incl Cold Storages,0.7,27
22_2,01-03-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.58,23
21_5,01-03-2021,Wood and Leather,0.1248,9
21_5,01-03-2021,Textiles,0.08,3
21_5,01-03-2021,Granite and Stone Crushing,1.3,30
21_5,01-03-2021,Food Processing,0.265,5
20_2,01-03-2021,Agro based incl Cold Storages,2.2215,49
20_2,01-03-2021,Beverages,0.297,12
20_2,01-03-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.43,16
15_1,01-03-2021,Plastic and Rubber,206.2091,141
15_1,01-03-2021,Pharmaceuticals and Chemicals,1.5495,25
19_2,01-03-2021,Food Processing,0.205,22
19_2,01-03-2021,Engineering,1.1194,19
19_2,01-03-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.08,3
19_2,01-03-2021,Beverages,0.06,3
20_2,01-03-2021,Engineering,0.271,8
20_2,01-03-2021,Food Processing,1.608,37
14_1,01-03-2021,Pharmaceuticals and Chemicals,1.001,500
15_3,01-03-2021,Wood and Leather,0.12,10
19_3,01-03-2021,Engineering,0.1,4
14_4,01-03-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.73,10
21_3,01-03-2021,Food Processing,2.672,50
17_2,01-03-2021,Beverages,8.2,160
17_2,01-03-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.85,21
17_2,01-03-2021,Electrical and Electronic Products,0.51,18
21_2,01-03-2021,Food Processing,2.31,30
21_2,01-03-2021,Wood and Leather,0.18,0
22_1,01-03-2021,Engineering,0.03,4
21_3,01-03-2021,Wood and Leather,0.053,2
22_1,01-03-2021,Food Processing,6.166,20
22_1,01-03-2021,Granite and Stone Crushing,1.135,17
21_2,01-03-2021,Engineering,2.05,10
17_2,01-03-2021,Engineering,17.6941,141
23_1,01-03-2021,Food Processing,2.236,34
20_4,01-03-2021,Agro based incl Cold Storages,0.5584,16
20_4,01-03-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.32,8
22_1,01-03-2021,Pharmaceuticals and Chemicals,0.09,6
20_4,01-03-2021,Engineering,0.1319,5
17_2,01-03-2021,Granite and Stone Crushing,0.98,25
17_2,01-03-2021,Others,19.8766,372
17_2,01-03-2021,Pharmaceuticals and Chemicals,88.4523,1142
15_2,01-03-2021,Agro based incl Cold Storages,1.3508,19
23_3,01-03-2021,Textiles,0.3,20
21_2,01-03-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.74,42
23_3,01-03-2021,Agro based incl Cold Storages,0.53,11
23_3,01-03-2021,Engineering,8.173,85
14_2,01-03-2021,Engineering,0.31,5
21_3,01-03-2021,Engineering,0.52,22
21_3,01-03-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.44,26
23_3,01-03-2021,Pharmaceuticals and Chemicals,69,120
23_3,01-03-2021,Paper and Printing,4.178,25
23_3,01-03-2021,Granite and Stone Crushing,2.1,9
23_3,01-03-2021,Food Processing,3,20
21_3,01-03-2021,Agro based incl Cold Storages,0.536,13
17_3,01-03-2021,Others,24,0
17_3,01-03-2021,Food Processing,4.5,16
22_1,01-03-2021,Agro based incl Cold Storages,0.6766,24
17_3,01-03-2021,Engineering,0.24,8
17_3,01-03-2021,Agro based incl Cold Storages,1.115,19
14_5,01-03-2021,Textiles,2.829,8
14_5,01-03-2021,Food Processing,3.465,15
22_1,01-03-2021,Beverages,0.045,2
23_1,01-03-2021,Plastic and Rubber,0.24,6
23_3,01-03-2021,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",0.5,9
22_1,01-03-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.29,23
21_2,01-03-2021,Agro based incl Cold Storages,0.55,20
21_2,01-03-2021,Beverages,0.61,18
15_2,01-03-2021,Beverages,0.05,5
18_2,01-03-2021,Agro based incl Cold Storages,2.3326,46
17_2,01-03-2021,Food Processing,6.3711,120
18_2,01-03-2021,Engineering,0.01,2
14_3,01-03-2021,Engineering,0.55,8
14_3,01-03-2021,Food Processing,4.2575,34
20_3,01-03-2021,Agro based incl Cold Storages,1.755,64
20_3,01-03-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.7475,40
20_3,01-03-2021,Engineering,0.125,5
20_3,01-03-2021,Food Processing,0.335,24
20_3,01-03-2021,Plastic and Rubber,0.16,5
20_3,01-03-2021,Textiles,0.25,8
15_2,01-03-2021,Food Processing,3.5465,350
15_2,01-03-2021,Granite and Stone Crushing,0.24,20
23_1,01-03-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",2.35,9
18_2,01-03-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.01,4
15_2,01-03-2021,Others,20.83,64
15_2,01-03-2021,Paper and Printing,34.3225,134
14_3,01-03-2021,Agro based incl Cold Storages,0.22,6
15_2,01-03-2021,Pharmaceuticals and Chemicals,1.82,14
15_2,01-03-2021,Plastic and Rubber,1.73,40
15_2,01-03-2021,R&D,133.065,365
15_2,01-03-2021,Wood and Leather,0.22,7
18_1,01-03-2021,Agro based incl Cold Storages,2.4942,43
14_2,01-03-2021,Textiles,0.4015,25
18_1,01-03-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.3012,15
18_1,01-03-2021,Food Processing,4.2257,56
18_2,01-03-2021,Food Processing,2.2255,20
18_2,01-03-2021,Pharmaceuticals and Chemicals,82.22,60
18_1,01-03-2021,Wood and Leather,0.544,11
15_2,01-03-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",2.85,25
15_2,01-03-2021,Electrical and Electronic Products,1.7231,40
15_2,01-03-2021,Engineering,9.5619,289
18_1,01-03-2021,Paper and Printing,0.6858,12
17_2,01-03-2021,R&D,1.75,20
14_2,01-03-2021,Food Processing,0.25,20
18_1,01-03-2021,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",1.15,50
20_4,01-03-2021,Food Processing,2.0649,53
17_2,01-03-2021,Plastic and Rubber,3.85,50
18_1,01-03-2021,Engineering,4.7012,71
20_2,01-04-2021,Beverages,0.086,2
21_2,01-04-2021,Pharmaceuticals and Chemicals,0.1862,15
21_2,01-04-2021,Electrical and Electronic Products,1.4396,100
19_4,01-04-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.34,17
20_2,01-04-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.59,20
21_2,01-04-2021,Engineering,0.56,29
21_2,01-04-2021,Food Processing,2.84,111
14_2,01-04-2021,Food Processing,0.141,3
14_3,01-04-2021,Food Processing,1.108,10
15_3,01-04-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.08,3
15_3,01-04-2021,Food Processing,0.16,12
20_2,01-04-2021,Agro based incl Cold Storages,1.8195,40
14_3,01-04-2021,Agro based incl Cold Storages,0.3,6
14_3,01-04-2021,Paper and Printing,0.65,8
21_2,01-04-2021,Plastic and Rubber,0.2,8
15_3,01-04-2021,Granite and Stone Crushing,0.5035,30
15_3,01-04-2021,Wood and Leather,0.06,7
17_2,01-04-2021,Engineering,21.0891,302
17_2,01-04-2021,Food Processing,2.9528,26
17_2,01-04-2021,Others,8.135,80
17_2,01-04-2021,Pharmaceuticals and Chemicals,1.05,96
17_2,01-04-2021,Plastic and Rubber,934.8842,390
17_2,01-04-2021,R&D,31.3981,482
19_3,01-04-2021,Plastic and Rubber,0.51,22
19_3,01-04-2021,Others,0.16,6
19_3,01-04-2021,Food Processing,0.26,13
19_3,01-04-2021,Engineering,0.035,1
19_3,01-04-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.7,34
17_2,01-04-2021,Wood and Leather,3.1,54
20_2,01-04-2021,Engineering,0.381,12
22_2,01-04-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.44,26
22_1,01-04-2021,Granite and Stone Crushing,1.3,6
15_1,01-04-2021,Plastic and Rubber,27.998,59
17_2,01-04-2021,Electrical and Electronic Products,0.322,5
17_2,01-04-2021,Beverages,0.7,10
18_1,01-04-2021,Granite and Stone Crushing,0.24,8
18_1,01-04-2021,Food Processing,2.3982,25
18_1,01-04-2021,Engineering,0.74,11
15_1,01-04-2021,Pharmaceuticals and Chemicals,0.02,15
15_1,01-04-2021,Others,2.65,30
15_1,01-04-2021,Food Processing,5.24,40
21_5,01-04-2021,Agro based incl Cold Storages,0.162,4
21_5,01-04-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.2,10
15_1,01-04-2021,Engineering,1.1011,45
14_5,01-04-2021,Textiles,7.564,50
21_6,01-04-2021,Agro based incl Cold Storages,0.22,10
21_5,01-04-2021,Food Processing,1.2,25
18_1,01-04-2021,Others,0.2,5
20_2,01-04-2021,Food Processing,1.2869,52
20_1,01-04-2021,Food Processing,1.195,58
22_1,01-04-2021,Food Processing,3.35,25
23_3,01-04-2021,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",2.5,14
23_3,01-04-2021,Food Processing,0.6514,40
20_3,01-04-2021,Textiles,0.2025,10
20_3,01-04-2021,Plastic and Rubber,0.86,20
20_3,01-04-2021,Granite and Stone Crushing,0.25,10
20_3,01-04-2021,Food Processing,1.2722,27
20_3,01-04-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.38,14
23_3,01-04-2021,Granite and Stone Crushing,6.25,29
23_3,01-04-2021,Paper and Printing,0.96,6
20_3,01-04-2021,Agro based incl Cold Storages,1.682,70
23_3,01-04-2021,Solar and Other Renewable Energy,1.12,40
21_7,01-04-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.165,10
23_1,01-04-2021,Food Processing,1.5,12
20_4,01-04-2021,Agro based incl Cold Storages,0.25,10
20_4,01-04-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.559,26
20_4,01-04-2021,Engineering,0.28,11
23_1,01-04-2021,Granite and Stone Crushing,0.5,8
23_3,01-04-2021,Engineering,5.7044,69
20_2,01-04-2021,Pharmaceuticals and Chemicals,0.1,4
23_1,01-04-2021,Engineering,10.59,115
23_1,01-04-2021,Agro based incl Cold Storages,2.35,47
22_1,01-04-2021,Beverages,0.04,2
22_1,01-04-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.5125,25
22_1,01-04-2021,Engineering,0.38,10
17_3,01-04-2021,Food Processing,0.855,12
21_3,01-04-2021,Food Processing,0.03,2
21_3,01-04-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.09,3
21_3,01-04-2021,Beverages,0.035,1
19_1,01-04-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.3325,25
19_1,01-04-2021,Beverages,0.18,4
21_3,01-04-2021,Agro based incl Cold Storages,0.93,12
23_3,01-04-2021,Agro based incl Cold Storages,0.14,3
23_3,01-04-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.241,8
17_1,01-04-2021,Pharmaceuticals and Chemicals,1.4092,8
17_1,01-04-2021,Paper and Printing,0.25,15
17_1,01-04-2021,Engineering,0.879,6
17_3,01-04-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.71,17
17_3,01-04-2021,Agro based incl Cold Storages,1.0223,21
23_1,01-04-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.115,6
19_2,01-04-2021,Automobile,0.25,8
15_2,01-04-2021,Agro based incl Cold Storages,0.22,1
19_2,01-04-2021,Engineering,0.04,4
19_2,01-04-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.08,3
14_1,01-04-2021,Food Processing,3.1302,115
17_1,01-04-2021,Beverages,3,20
20_2,01-04-2021,Wood and Leather,0.132,2
18_2,01-04-2021,Wood and Leather,0.07,3
18_2,01-04-2021,Food Processing,1.4,10
18_2,01-04-2021,Agro based incl Cold Storages,0.18,5
20_1,01-04-2021,Granite and Stone Crushing,10.6343,204
21_2,01-04-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",2.592,30
20_1,01-04-2021,Engineering,0.2725,11
20_1,01-04-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.57,25
20_1,01-04-2021,Agro based incl Cold Storages,1.605,59
14_4,01-04-2021,Others,0.57,15
14_2,01-04-2021,Textiles,1.25,10
14_2,01-04-2021,Plastic and Rubber,0.3994,9
16_1,01-04-2021,Engineering,0.24,20
22_1,01-04-2021,Agro based incl Cold Storages,2.1534,31
17_1,01-04-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",5.01,15
17_1,01-04-2021,Electrical and Electronic Products,5.0455,15
21_2,01-04-2021,Agro based incl Cold Storages,0.464,2
15_2,01-04-2021,Engineering,35.9248,290
19_2,01-04-2021,Food Processing,0.16,8
20_4,01-04-2021,Food Processing,4.9072,51
23_2,01-04-2021,Agro based incl Cold Storages,1.0086,2
15_2,01-04-2021,R&D,77.54,452
15_2,01-04-2021,Plastic and Rubber,6.64,53
15_2,01-04-2021,Pharmaceuticals and Chemicals,9.4134,89
23_2,01-04-2021,Food Processing,0.3208,10
23_2,01-04-2021,Wood and Leather,0.08,8
15_2,01-04-2021,Paper and Printing,0.5,14
15_2,01-04-2021,Food Processing,10.9524,300
15_2,01-04-2021,Electrical and Electronic Products,9.23,370
15_2,01-04-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",4.25,50
21_3,01-05-2021,Food Processing,1.085,9
17_1,01-05-2021,Agro based incl Cold Storages,0.9,15
17_2,01-05-2021,R&D,37.71,220
19_3,01-05-2021,Agro based incl Cold Storages,0.05,2
17_2,01-05-2021,Plastic and Rubber,0.245,10
21_3,01-05-2021,Electrical and Electronic Products,1.21,9
19_3,01-05-2021,Plastic and Rubber,0.7975,10
19_3,01-05-2021,Food Processing,0.1,5
17_1,01-05-2021,Pharmaceuticals and Chemicals,6.5,100
17_1,01-05-2021,Food Processing,1.65,18
15_1,01-05-2021,Wood and Leather,0.24,70
19_3,01-05-2021,Beverages,0.12,4
15_2,01-05-2021,Wood and Leather,0.38,7
21_7,01-05-2021,Granite and Stone Crushing,0.351,6
20_1,01-05-2021,Granite and Stone Crushing,2.7326,80
20_1,01-05-2021,Food Processing,0.25,10
20_1,01-05-2021,Engineering,0.5116,21
20_1,01-05-2021,Agro based incl Cold Storages,0.25,11
19_4,01-05-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.4,20
17_3,01-05-2021,Agro based incl Cold Storages,1.335,26
16_1,01-05-2021,Engineering,0.24,80
21_2,01-05-2021,Agro based incl Cold Storages,1.52,8
21_2,01-05-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.461,22
21_2,01-05-2021,Engineering,0.21,15
21_2,01-05-2021,Food Processing,0.2545,6
21_2,01-05-2021,Plastic and Rubber,1.055,18
14_1,01-05-2021,Plastic and Rubber,1.99,40
14_1,01-05-2021,Agro based incl Cold Storages,1.8691,42
14_3,01-05-2021,Agro based incl Cold Storages,0.2524,4
14_3,01-05-2021,Food Processing,0.9975,12
14_3,01-05-2021,Textiles,15.793,40
17_3,01-05-2021,Engineering,0.245,6
21_3,01-05-2021,Agro based incl Cold Storages,0.71,14
17_3,01-05-2021,Food Processing,5.6998,24
17_3,01-05-2021,Pharmaceuticals and Chemicals,58.8147,400
21_7,01-05-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.0125,8
15_3,01-05-2021,Engineering,0.2,9
15_3,01-05-2021,Food Processing,0.234,9
15_3,01-05-2021,Granite and Stone Crushing,0.1155,7
15_3,01-05-2021,Others,3.344,25
15_3,01-05-2021,Pharmaceuticals and Chemicals,28,300
15_3,01-05-2021,Wood and Leather,0.08,4
23_2,01-05-2021,Agro based incl Cold Storages,0.12,3
23_2,01-05-2021,Engineering,0.07,5
23_2,01-05-2021,Food Processing,4,15
22_1,01-05-2021,Agro based incl Cold Storages,0.7144,20
22_1,01-05-2021,Beverages,0.06,2
22_1,01-05-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.32,12
22_1,01-05-2021,Food Processing,0.2,8
22_1,01-05-2021,Others,0.25,6
14_5,01-05-2021,Food Processing,0.67,10
20_1,01-05-2021,Plastic and Rubber,0.225,6
20_1,01-05-2021,Pharmaceuticals and Chemicals,0.23,8
15_1,01-05-2021,Plastic and Rubber,13.2397,84
15_2,01-05-2021,Paper and Printing,1.517,21
15_1,01-05-2021,Beverages,8.3581,133
23_3,01-05-2021,Pharmaceuticals and Chemicals,0.4,13
23_3,01-05-2021,Food Processing,0.2,4
19_2,01-05-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.08,3
19_2,01-05-2021,Food Processing,0.23,6
23_1,01-05-2021,Granite and Stone Crushing,0.25,4
15_1,01-05-2021,Pharmaceuticals and Chemicals,0.75,6
15_1,01-05-2021,Paper and Printing,0.18,5
15_1,01-05-2021,Others,1.0175,30
23_3,01-05-2021,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",2,9
23_3,01-05-2021,Engineering,4.2,40
15_1,01-05-2021,Food Processing,0.96,15
23_1,01-05-2021,Food Processing,45.0027,12
15_1,01-05-2021,Engineering,1.77,52
15_1,01-05-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.22,9
17_2,01-05-2021,Beverages,1.4909,42
23_1,01-05-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.05,4
20_4,01-05-2021,Agro based incl Cold Storages,0.14,2
23_1,01-05-2021,Beverages,0.0281,2
23_1,01-05-2021,Agro based incl Cold Storages,0.36,8
18_1,01-05-2021,Agro based incl Cold Storages,1.5812,5
18_1,01-05-2021,Engineering,0.05,5
18_1,01-05-2021,Pharmaceuticals and Chemicals,0.1,4
22_2,01-05-2021,Engineering,0.18,4
15_1,01-05-2021,Agro based incl Cold Storages,5,5
22_2,01-05-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.22,6
21_5,01-05-2021,Food Processing,0.085,4
21_5,01-05-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.06,5
21_5,01-05-2021,Beverages,0.06,3
21_5,01-05-2021,Agro based incl Cold Storages,2.475,28
20_2,01-05-2021,Granite and Stone Crushing,0.7,15
20_4,01-05-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.33,20
20_2,01-05-2021,Paper and Printing,0.05,4
17_2,01-05-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.35,28
15_2,01-05-2021,Pharmaceuticals and Chemicals,10.9294,59
15_2,01-05-2021,Engineering,5.9098,164
14_2,01-05-2021,Food Processing,2.955,60
20_3,01-05-2021,Agro based incl Cold Storages,2.3475,69
20_3,01-05-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.205,6
20_3,01-05-2021,Food Processing,0.49,20
15_2,01-05-2021,Food Processing,0.7,35
19_1,01-05-2021,Food Processing,0.035,1
18_2,01-05-2021,Agro based incl Cold Storages,0.545,17
17_2,01-05-2021,Pharmaceuticals and Chemicals,6.09,58
17_2,01-05-2021,Others,8.75,150
17_2,01-05-2021,Granite and Stone Crushing,0.25,5
17_2,01-05-2021,Food Processing,10.52,231
15_2,01-05-2021,Electrical and Electronic Products,3.815,90
15_2,01-05-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.82,34
17_2,01-05-2021,Engineering,38.3448,341
20_2,01-05-2021,Agro based incl Cold Storages,1.4715,26
